Deutsch,English
Entscheidung,decision
Rechnung,bill
Ehrlichkeit,honesty
Grund,reason
Recht,right
Frage,question
Gedanke,thought
Ziel,goal
Zug,train
Handy,mobile
Kunde,customer
Jahr,year
Tag,day
Stadt,city
Land,country
Freude,joy
Fehler,mistake
Antwort,answer
Erfolg,success
Stück,piece
Stärke,strength
Glück,happiness
haben,have
Sinn,meaning
Angst,fear
Fähigkeit,ability
Beruf,profession
Hoffnung,hope
Arbeit,work
Kind,child
Geld,money
Verständnis,understanding
noch,still
Hilfe,help
Geduld,patience
sich,itself
Körper,body
nur,only
Gleichheit,equality
Augenblick,moment
auch,also
Zweifel,doubt
Nacht,night
Beispiel,example
aber,but
schon,already
wenn,if
um,around
als,as
Ort,place
doch,but
gut,good
Ding,thing
jetzt,now
weiß,know
wenn,if
werden,become
der,the
nach,after
Möglichkeit,possibility
oder,or
dann,then
mehr,more
etwas,something
alles,everything
Lüge,lie
immer,always
nichts,nothing
wieder,again
vor,before
können,can
sagen,say
Zeit,time
wirklich,really
einfach,simply
viel,much
sollen,should
bitte,please
zurück,return
Frau,woman
Leben,life
Gott,God
Leute,people
sicher,surely
zuverlässig,reliable
Gedächtnis,memory
Aufgabe,task
Erinnerung,recollection
Erfahrung,experience
Reichtum,wealth
Zufriedenheit,contentment
Selbstbewusstsein,self-confidence
ruhig,calm
